year,era,team,position,finish,reached,matches,wins,draws,losses,goals_for,goals_against,gf_pg,ga_pg,gd_pg,note
1966,1962-1982,Brazil,,Field,Group stage,3,1,0,2,4,6,1.333,2.0,-0.667,
1966,1962-1982,Bulgaria,,Field,Group stage,3,0,0,3,1,8,0.333,2.667,-2.334,
1966,1962-1982,Chile,,Field,Group stage,3,0,1,2,2,5,0.667,1.667,-1.0,
1966,1962-1982,France,,Field,Group stage,3,0,1,2,2,5,0.667,1.667,-1.0,
1966,1962-1982,Hungary,,Field,Quarter-finals,4,2,0,2,8,7,2.0,1.75,0.25,
1966,1962-1982,Italy,,Field,Group stage,3,1,0,2,2,2,0.667,0.667,0.0,
1966,1962-1982,Mexico,,Field,Group stage,3,0,2,1,1,3,0.333,1.0,-0.667,
1966,1962-1982,North Korea,,Field,Quarter-finals,4,1,1,2,5,9,1.25,2.25,-1.0,
1966,1962-1982,Spain,,Field,Group stage,3,1,0,2,4,5,1.333,1.667,-0.334,
1966,1962-1982,Switzerland,,Field,Group stage,3,0,0,3,1,9,0.333,3.0,-2.667,
1966,1962-1982,Uruguay,,Field,Quarter-finals,4,1,2,1,2,5,0.5,1.25,-0.75,
1970,1962-1982,Brazil,1.0,Champion,Final,6,6,0,0,19,7,3.167,1.167,2.0,"Pele's side — the total package, elite at both ends."
1970,1962-1982,Italy,2.0,Runner-up,Final,6,3,2,1,10,8,1.667,1.333,0.334,
1970,1962-1982,West Germany,3.0,Third,Semi-finals,6,5,0,1,17,10,2.833,1.667,1.166,
1970,1962-1982,Uruguay,4.0,Field,Semi-finals,6,2,1,3,4,5,0.667,0.833,-0.166,
1970,1962-1982,Belgium,,Field,Group stage,3,1,0,2,4,5,1.333,1.667,-0.334,
1970,1962-1982,Bulgaria,,Field,Group stage,3,0,1,2,5,9,1.667,3.0,-1.333,
1970,1962-1982,Czechoslovakia,,Field,Group stage,3,0,0,3,2,7,0.667,2.333,-1.666,
1970,1962-1982,El Salvador,,Field,Group stage,3,0,0,3,0,9,0.0,3.0,-3.0,
1970,1962-1982,England,,Field,Quarter-finals,4,2,0,2,4,4,1.0,1.0,0.0,
1970,1962-1982,Israel,,Field,Group stage,3,0,2,1,1,3,0.333,1.0,-0.667,
1970,1962-1982,Mexico,,Field,Quarter-finals,4,2,1,1,6,4,1.5,1.0,0.5,
1970,1962-1982,Morocco,,Field,Group stage,3,0,1,2,2,6,0.667,2.0,-1.333,
1970,1962-1982,Peru,,Field,Quarter-finals,4,2,0,2,9,9,2.25,2.25,0.0,
1970,1962-1982,Romania,,Field,Group stage,3,1,0,2,4,5,1.333,1.667,-0.334,
1970,1962-1982,Soviet Union,,Field,Quarter-finals,4,2,1,1,6,2,1.5,0.5,1.0,
1970,1962-1982,Sweden,,Field,Group stage,3,1,1,1,2,2,0.667,0.667,0.0,
1974,1962-1982,West Germany,1.0,Champion,Final,7,6,0,1,13,4,1.857,0.571,1.286,
1974,1962-1982,Netherlands,2.0,Runner-up,Final,7,5,1,1,15,3,2.143,0.429,1.714,"Total Football dazzled, outscored everyone, lost the final."
1974,1962-1982,Poland,3.0,Third,Semi-finals,7,6,0,1,16,5,2.286,0.714,1.572,
1974,1962-1982,Brazil,4.0,Field,Semi-finals,7,3,2,2,6,4,0.857,0.571,0.286,
1974,1962-1982,Argentina,,Field,2nd group stage,6,1,2,3,9,12,1.5,2.0,-0.5,
1974,1962-1982,Australia,,Field,Group stage,3,0,1,2,0,5,0.0,1.667,-1.667,
1974,1962-1982,Bulgaria,,Field,Group stage,3,0,2,1,2,5,0.667,1.667,-1.0,
1974,1962-1982,Chile,,Field,Group stage,3,0,2,1,1,2,0.333,0.667,-0.334,
1974,1962-1982,East Germany,,Field,2nd group stage,6,2,2,2,5,5,0.833,0.833,0.0,
1974,1962-1982,Haiti,,Field,Group stage,3,0,0,3,2,14,0.667,4.667,-4.0,
1974,1962-1982,Italy,,Field,Group stage,3,1,1,1,5,4,1.667,1.333,0.334,
1974,1962-1982,Scotland,,Field,Group stage,3,1,2,0,3,1,1.0,0.333,0.667,
1974,1962-1982,Sweden,,Field,2nd group stage,6,2,2,2,7,6,1.167,1.0,0.167,
1974,1962-1982,Uruguay,,Field,Group stage,3,0,1,2,1,6,0.333,2.0,-1.667,
1974,1962-1982,Yugoslavia,,Field,2nd group stage,6,1,2,3,12,7,2.0,1.167,0.833,
1974,1962-1982,Zaire,,Field,Group stage,3,0,0,3,0,14,0.0,4.667,-4.667,
1978,1962-1982,Argentina,1.0,Champion,Final,7,5,1,1,15,4,2.143,0.571,1.572,
1978,1962-1982,Netherlands,2.0,Runner-up,Final,7,3,2,2,15,10,2.143,1.429,0.714,
1978,1962-1982,Brazil,3.0,Third,Semi-finals,7,4,3,0,10,3,1.429,0.429,1.0,
1978,1962-1982,Italy,4.0,Field,Semi-finals,7,4,1,2,9,6,1.286,0.857,0.429,
1978,1962-1982,Austria,,Field,2nd group stage,6,3,0,3,7,10,1.167,1.667,-0.5,
1978,1962-1982,France,,Field,Group stage,3,1,0,2,5,5,1.667,1.667,0.0,
1978,1962-1982,Hungary,,Field,Group stage,3,0,0,3,3,8,1.0,2.667,-1.667,
1978,1962-1982,Iran,,Field,Group stage,3,0,1,2,2,8,0.667,2.667,-2.0,
1978,1962-1982,Mexico,,Field,Group stage,3,0,0,3,2,12,0.667,4.0,-3.333,
1978,1962-1982,Peru,,Field,2nd group stage,6,2,1,3,7,12,1.167,2.0,-0.833,
1978,1962-1982,Poland,,Field,2nd group stage,6,3,1,2,6,6,1.0,1.0,0.0,
